player_name,team,position_group,minutes_total,gk_volume_faced_proxy,gk_save_actions_proxy,gk_efficiency_pct_proxy,volume_defensivo_gk_index,eficiencia_gk_index,distribuicao_gk_index,pressao_sofrida_gk_index,gk_matches_pdf,gk_gk_total_involvements_sum_pdf,gk_gk_line_breaks_sum_pdf,gk_gk_distribution_page_no_sum_pdf,gk_gk_attempts_on_goal_faced_sum_pdf,gk_gk_save_pct_mean_pdf,gk_gk_attempts_faced_table_sum_pdf,gk_gk_total_goal_interventions_sum_pdf,gk_gk_save_retain_sum_pdf,gk_gk_deflect_retain_sum_pdf,gk_gk_save_deflect_sum_pdf,gk_gk_save_attempt_sum_pdf,gk_gk_no_save_attempt_sum_pdf,gk_gk_goal_prevention_page_no_sum_pdf,gk_squad_no_sum_pdf,gk_minutes_played_est_sum_pdf,gk_active_matches_pdf,gk_active_minutes_pdf,gk_matches_pdf_per90,gk_gk_total_involvements_sum_pdf_per90,gk_gk_line_breaks_sum_pdf_per90,gk_gk_distribution_page_no_sum_pdf_per90,gk_gk_attempts_on_goal_faced_sum_pdf_per90,gk_gk_save_pct_mean_pdf_per90,gk_gk_attempts_faced_table_sum_pdf_per90,gk_gk_total_goal_interventions_sum_pdf_per90,gk_gk_save_retain_sum_pdf_per90,gk_gk_deflect_retain_sum_pdf_per90,gk_gk_save_deflect_sum_pdf_per90,gk_gk_save_attempt_sum_pdf_per90,gk_gk_no_save_attempt_sum_pdf_per90,gk_gk_goal_prevention_page_no_sum_pdf_per90,gk_squad_no_sum_pdf_per90,gk_minutes_played_est_sum_pdf_per90,gk_active_matches_pdf_per90,gk_active_minutes_pdf_per90,gk_matches_pdf_per90__dup1,gk_gk_total_involvements_sum_pdf_per90__dup1,gk_gk_line_breaks_sum_pdf_per90__dup1,gk_gk_distribution_page_no_sum_pdf_per90__dup1,gk_gk_attempts_on_goal_faced_sum_pdf_per90__dup1,gk_gk_save_pct_mean_pdf_per90__dup1,gk_gk_attempts_faced_table_sum_pdf_per90__dup1,gk_gk_total_goal_interventions_sum_pdf_per90__dup1,gk_gk_save_retain_sum_pdf_per90__dup1,gk_gk_deflect_retain_sum_pdf_per90__dup1,gk_gk_save_deflect_sum_pdf_per90__dup1,gk_gk_save_attempt_sum_pdf_per90__dup1,gk_gk_no_save_attempt_sum_pdf_per90__dup1,gk_gk_goal_prevention_page_no_sum_pdf_per90__dup1,gk_squad_no_sum_pdf_per90__dup1,gk_minutes_played_est_sum_pdf_per90__dup1,gk_active_matches_pdf_per90__dup1,gk_active_minutes_pdf_per90__dup1
Jacob WIDELL ZETTERSTROM,Sweden,GK,,90.0,117.0,71.0,28.9,49.2,22.2,31.9,2.0,117.0,43.0,67.0,34.0,71.0,34.0,12.0,5.0,0.0,7.0,9.0,13.0,71.0,2.0,180.0,2.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca ZIDANE,Algeria,GK,,75.0,143.0,58.333333333333336,28.9,41.8,71.0,25.9,3.0,135.0,22.0,99.0,29.0,58.333333333333336,29.0,11.0,4.0,2.0,6.0,3.0,14.0,105.0,69.0,270.0,3.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando MOSQUERA,Panama,GK,,81.0,138.0,72.33333333333333,28.4,51.7,51.4,27.6,3.0,144.0,44.0,97.0,30.0,72.33333333333333,30.0,7.0,1.0,2.0,6.0,5.0,16.0,103.0,66.0,272.0,3.0,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM Seunggyu,Korea Republic,GK,,73.0,143.0,75.0,27.2,55.6,61.6,22.4,3.0,147.0,39.0,98.0,28.0,75.0,28.0,11.0,7.0,0.0,4.0,5.0,12.0,104.0,3.0,276.0,3.0,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymen DAHMEN,Tunisia,GK,,90.0,107.0,46.0,27.2,22.4,13.2,31.9,2.0,92.0,32.0,65.0,32.0,46.0,32.0,6.0,2.0,0.0,4.0,5.0,21.0,69.0,32.0,180.0,2.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mory DIAW,Senegal,GK,,73.0,100.0,70.0,20.7,43.6,42.6,22.4,2.0,124.0,40.0,68.0,26.0,70.0,26.0,4.0,2.0,2.0,1.0,4.0,17.0,72.0,46.0,186.0,2.0,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard MENDY,Senegal,GK,,62.0,104.0,56.0,19.8,31.9,50.2,19.0,2.0,101.0,27.0,66.0,24.0,56.0,24.0,10.0,3.0,0.0,7.0,6.0,8.0,70.0,32.0,162.0,2.0,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando MUSLERA,Uruguay,GK,,53.0,93.0,58.5,16.8,35.3,52.7,16.4,2.0,81.0,12.0,66.0,19.0,58.5,19.0,4.0,2.0,0.0,2.0,3.0,12.0,70.0,46.0,183.0,3.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Ati ZIGI,Ghana,GK,,53.0,63.0,88.0,15.1,56.4,38.4,16.4,1.0,60.0,12.0,34.0,20.0,88.0,20.0,7.0,1.0,0.0,6.0,1.0,12.0,36.0,1.0,79.0,2.0,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristoffer NORDFELDT,Sweden,GK,,47.0,90.0,39.5,13.8,15.5,34.4,12.1,2.0,86.0,28.0,65.0,17.0,39.5,17.0,4.0,3.0,0.0,1.0,4.0,9.0,69.0,46.0,180.0,2.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egil SELVIK,Norway,GK,,49.0,58.0,56.0,13.0,27.6,18.2,13.8,1.0,53.0,17.0,33.0,18.0,56.0,18.0,5.0,2.0,0.0,3.0,6.0,7.0,35.0,13.0,90.0,1.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utkir YUSUPOV,Uzbekistan,GK,,42.0,52.0,25.0,10.3,9.4,13.2,10.3,1.0,50.0,12.0,32.0,15.0,25.0,15.0,3.0,1.0,0.0,2.0,3.0,9.0,34.0,1.0,90.0,1.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JALAL HASSAN,Iraq,GK,,38.0,48.0,33.0,7.8,8.6,22.6,8.6,1.0,56.0,16.0,32.0,13.0,33.0,13.0,1.0,0.0,0.0,1.0,2.0,10.0,34.0,12.0,90.0,2.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouhib CHAMAKH,Tunisia,GK,,36.0,51.0,17.0,7.8,7.8,22.1,6.9,1.0,43.0,9.0,33.0,13.0,17.0,13.0,3.0,0.0,0.0,3.0,4.0,6.0,35.0,1.0,90.0,1.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
